iteration,variance,skewness,curtosis,entropy,prediction
0,3.829527,-0.13042974,-3.1026301,-2.6517673,0.43478698
0,0.68133545,5.1118774,1.8186074,-3.7232835,0.49564433
0,1.9244591,3.3003252,1.4436855,-3.5707133,0.49017948
0,3.1264436,2.347443,1.009612,-2.7932808,0.4788858
0,3.53554,5.015786,0.62995136,-2.8879364,0.45811316
0,2.86027,-0.06808554,-3.1388476,-3.6720753,0.43962562
0,3.388317,5.256045,-0.90631974,-4.1801324,0.45541334
0,2.6748428,6.436788,1.498625,-5.0226727,0.47468653
0,3.582231,7.1641345,2.2736933,-3.619583,0.46059754
0,2.5100324,2.260187,0.21357341,-3.1265085,0.47636855
0,3.3239582,5.4202075,-1.029871,-3.8808641,0.45151234
0,1.6536261,5.17499,0.9163548,-3.3792045,0.4746234
0,4.131187,-3.856864,-3.8076777,-1.6864662,0.41104034
0,1.1350324,1.3064525,1.5173764,-2.5595531,0.4870819
0,3.9356496,-2.058876,-3.4572985,-1.9659755,0.42203176
0,2.1231546,7.631581,1.7741969,-3.2708755,0.46641484
1,2.8141086,7.1715097,-0.51535636,-4.9975734,0.45046258
1,1.1830378,0.8189817,1.2257874,-2.4914668,0.48216853
1,2.5128517,4.6821423,-1.9749568,-4.759144,0.45401952
1,2.8205266,5.3813405,-2.5834243,-4.750053,0.44381624
1,2.2822084,5.5554724,0.04171329,-3.968864,0.46267048
1,2.5566628,5.1957064,1.8073167,-3.8105485,0.47998413
1,2.397191,5.730421,2.7901587,-2.9244642,0.48095536
1,2.8459108,1.8761629,0.9830141,-2.3281207,0.47584414
1,2.2128863,-1.6813201,-0.2506748,-1.0028709,0.44861597
1,3.5371032,1.0896994,0.46227667,-2.3244436,0.4690505
1,2.5788991,2.4429379,1.7777903,-2.5818841,0.48362166
1,3.3789732,7.607616,-1.9534873,-4.183351,0.427049
1,1.3440425,6.114743,1.2409683,-3.7801673,0.47744176
1,1.5010585,7.48801,0.41492248,-5.064691,0.46496353
1,1.8720399,2.4356341,1.5477223,-2.7689278,0.4891409
1,2.1325204,2.5481157,1.7737855,-1.5000895,0.4712421
2,2.6677225,2.192599,1.3450692,-1.8210168,0.47005677
2,2.925924,1.6648743,0.48288238,-2.1508996,0.47073045
2,2.9378393,0.9846511,-1.39125,-2.7303557,0.45579877
2,2.1163316,6.5491,2.3585105,-3.6711476,0.47699556
2,2.5994146,4.3861184,-2.6542456,-4.680448,0.4490852
2,2.6441138,4.405091,0.098262146,-4.131695,0.47150332
2,2.5143065,1.2876036,-2.2027774,-3.4316616,0.45304048
2,0.10901285,6.7889094,4.6385775,-2.8114622,0.5027854
2,4.2520843,3.5917642,-1.8473313,-3.0381606,0.44532153
2,3.7752447,4.2651315,-3.4136217,-4.648911,0.43665442
2,3.8623924,2.5330002,-0.9746831,-2.6929355,0.45507962
2,1.4825187,7.2708516,2.6039221,-3.5864916,0.4822568
2,2.452125,4.1630535,0.9040436,-2.1088336,0.46180376
2,1.9582943,6.714479,0.43598536,-4.681767,0.46697062
2,5.4908156,-3.8212552,-4.023941,-0.3560768,0.4015275
2,0.631593,2.4418852,3.1639092,-2.533174,0.50144506
3,3.1267269,-0.00020840827,-1.2146788,-2.3535485,0.45385307
3,1.7490801,5.780314,1.637126,-2.9734023,0.4739952
3,1.5317339,3.0672321,1.9622223,-3.023219,0.4955473
3,2.2593222,2.4715385,1.4394712,-2.8055966,0.48671496
3,2.2432497,0.3271671,-1.0021428,-2.9899964,0.46136943
3,2.8424206,7.1760316,1.4461976,-3.0766711,0.45109648
3,2.675588,-0.7943409,-1.048611,-1.8828273,0.45089522
3,1.4605196,2.9964526,2.1684353,-2.8395545,0.4954295
3,2.515256,-0.4593009,-0.4268461,-1.9230253,0.4581179
3,1.7920753,5.070085,2.7294207,-3.998762,0.4931027
3,2.641896,4.676944,1.9168854,-3.7946873,0.48570967
3,2.8877265,-2.4437726,-2.3244543,-1.623778,0.43289903
3,1.7612222,2.3599021,-0.3147621,-2.8167546,0.47276682
3,3.9102297,5.362037,-3.9373426,-4.456609,0.42725354
3,2.2988598,2.7865622,0.97954935,-2.9171886,0.48331007
3,1.5387322,2.9851952,-0.09224478,-3.5299222,0.48023182
4,1.4617122,3.0289702,1.823509,-3.1864748,0.49730662
4,2.271137,6.375176,0.97266763,-4.17193,0.47021398
4,5.299628,2.7783222,-4.369649,-4.676031,0.43190935
4,3.0241418,0.12033519,-2.8091547,-3.0708196,0.44556716
4,3.2562342,-0.2459118,0.54498523,-1.6551663,0.4653962
4,2.0313346,2.3935828,-0.8664639,-3.0344288,0.46893933
4,1.9594004,4.7330737,1.4297957,-3.5479245,0.48157904
4,3.140166,2.9268646,-1.8873763,-2.8285272,0.4517664
4,2.9812303,5.4247646,1.5232682,-3.2200446,0.46683696
4,1.4248235,5.837171,2.4859524,-3.2122266,0.4872186
4,5.1462975,-5.0300207,-4.6746106,-1.5557152,0.40300667
4,3.8267663,2.742451,-1.2289188,-2.8576062,0.45577627
4,1.5444493,0.267051,0.77853775,-2.2320907,0.47491795
4,3.2104056,2.8712769,0.996788,-1.3304206,0.4528508
4,1.7868197,4.028949,1.7501836,-2.7403653,0.48104417
4,2.396905,4.4377704,-0.38765556,-3.7330163,0.46707317
5,1.8912863,1.5842401,2.8067117,-1.6328523,0.4801049
5,2.646704,3.9722352,-0.75360304,-3.4595132,0.46527642
5,1.7414342,4.701444,1.1557786,-3.6655626,0.48143864
5,1.4165298,-0.8195333,0.82511675,-1.2314942,0.46262598
5,1.9878418,2.4415543,0.98181564,-2.7497609,0.48523957
5,3.170374,3.6993635,-0.17083085,-3.2853096,0.46963587
5,3.1341114,2.6395073,-3.7792675,-4.46256,0.44943976
5,3.6399157,2.7755075,-0.041465685,-3.1949782,0.47316623
5,3.0663037,-0.067773834,-2.5804627,-3.3880234,0.4512479
5,1.3790269,-0.6413704,-0.40466833,-1.9404204,0.46204376
5,1.4997469,6.5012493,2.6737216,-2.24989,0.47783536
